name,album,release_year,cluster,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min
Concert Intro Music - Live,Licked Live In NYC,2022,0,33,0.463,0.993,-12.913,0.11,0.0824,0.996,0.932,0.0302,118.001,0.8106666666666666
Street Fighting Man - Live,Licked Live In NYC,2022,0,34,0.326,0.965,-4.803,0.0759,0.437,0.233,0.961,0.318,131.455,4.21955
Start Me Up - Live,Licked Live In NYC,2022,0,34,0.386,0.969,-4.936,0.115,0.416,0.4,0.956,0.313,130.066,4.386
If You Can't Rock Me - Live,Licked Live In NYC,2022,0,32,0.369,0.985,-5.535,0.193,0.567,0.000107,0.895,0.147,132.994,5.098
Don’t Stop - Live,Licked Live In NYC,2022,0,32,0.303,0.969,-5.098,0.093,0.4,0.0559,0.966,0.206,130.533,5.0851
Monkey Man - Live,Licked Live In NYC,2022,0,31,0.34,0.956,-5.539,0.0915,0.275,0.125,0.741,0.125,101.628,4.07155
Angie - Live,Licked Live In NYC,2022,0,31,0.262,0.81,-6.851,0.0969,0.561,2.76e-06,0.972,0.394,77.52,4.0917666666666666
Let It Bleed - Live,Licked Live In NYC,2022,0,30,0.413,0.971,-5.509,0.0873,0.317,0.000267,0.993,0.484,128.958,5.2264333333333335
Midnight Rambler - Live,Licked Live In NYC,2022,0,30,0.268,0.942,-6.018,0.119,0.416,0.0408,0.959,0.285,139.452,13.01955
Tumbling Dice - Live,Licked Live In NYC,2022,0,29,0.31,0.944,-5.074,0.128,0.401,0.0752,0.974,0.188,119.782,5.556883333333333
Band Introductions - Live,Licked Live In NYC,2022,0,27,0.262,0.939,-9.269,0.222,0.732,0.00952,0.936,0.0317,79.42,4.740433333333334
Thru And Thru - Live,Licked Live In NYC,2022,2,27,0.278,0.651,-7.024,0.0553,0.672,0.000425,0.893,0.334,95.853,7.206
Happy - Live,Licked Live In NYC,2022,0,27,0.322,0.947,-4.12,0.0602,0.473,0.163,0.955,0.498,136.149,3.7093333333333334
Gimme Shelter - Live,Licked Live In NYC,2022,0,28,0.36,0.98,-5.104,0.104,0.423,0.00219,0.98,0.136,119.779,7.173766666666666
You Got Me Rocking - Live,Licked Live In NYC,2022,0,26,0.388,0.974,-4.982,0.0974,0.32,0.0955,0.966,0.166,128.486,3.7924333333333333
Can't You Hear Me Knocking - Live,Licked Live In NYC,2022,0,27,0.401,0.921,-5.664,0.0517,0.435,0.0366,0.976,0.734,144.848,11.1331
Honky Tonk Women - Live,Licked Live In NYC,2022,0,27,0.401,0.94,-4.858,0.0928,0.536,0.00183,0.937,0.342,112.304,5.018433333333333
Satisfaction - Live,Licked Live In NYC,2022,0,28,0.256,0.979,-4.472,0.0906,0.5,0.309,0.969,0.24,142.464,6.18555
It's Only Rock 'N' Roll - Live,Licked Live In NYC,2022,0,25,0.378,0.986,-5.232,0.0833,0.675,0.621,0.971,0.436,140.253,5.066
When The Whip Comes Down - Live,Licked Live In NYC,2022,0,24,0.292,0.986,-5.827,0.131,0.336,0.282,0.975,0.179,149.383,4.85155
Brown Sugar - Live,Licked Live In NYC,2022,0,25,0.34,0.989,-4.734,0.108,0.439,0.722,0.982,0.164,139.361,5.626666666666667
Sympathy For The Devil - Live,Licked Live In NYC,2022,0,26,0.447,0.979,-4.942,0.114,0.424,2.17e-05,0.953,0.295,109.191,6.824433333333333
Jumpin Jack Flash - Live,Licked Live In NYC,2022,0,25,0.192,0.964,-4.264,0.0609,0.313,0.538,0.968,0.191,138.005,6.178883333333333
Honky Tonk Women - Live At The El Mocambo 1977,Live At The El Mocambo,2022,3,32,0.43,0.901,-6.215,0.045,0.162,0.011,0.694,0.89,112.077,3.6091
All Down The Line - Live At The El Mocambo 1977,Live At The El Mocambo,2022,0,29,0.245,0.965,-5.153,0.0828,0.107,0.0547,0.95,0.697,157.346,4.210666666666667
Hand Of Fate - Live At The El Mocambo 1977,Live At The El Mocambo,2022,3,29,0.477,0.899,-6.189,0.0425,0.0654,0.0376,0.727,0.805,129.991,4.464433333333333
Route 66 - Live At The El Mocambo 1977,Live At The El Mocambo,2022,3,30,0.473,0.923,-6.204,0.0791,0.0975,0.00157,0.722,0.792,144.625,3.22755
Fool To Cry - Live At The El Mocambo 1977,Live At The El Mocambo,2022,2,29,0.331,0.692,-7.105,0.045,0.434,0.0143,0.889,0.512,76.21,4.956433333333333
Crazy Mama - Live At The El Mocambo 1977,Live At The El Mocambo,2022,3,29,0.447,0.883,-6.266,0.0371,0.0288,0.00554,0.726,0.556,117.604,4.986883333333333
Mannish Boy - Live At The El Mocambo 1977,Live At The El Mocambo,2022,0,27,0.272,0.76,-7.508,0.0526,0.28,0.00087,0.962,0.782,201.585,6.047766666666667
Crackin’ Up - Live At The El Mocambo 1977,Live At The El Mocambo,2022,3,27,0.594,0.801,-7.448,0.0277,0.308,0.103,0.699,0.925,105.572,4.241766666666667
Dance Little Sister - Live At The El Mocambo 1977,Live At The El Mocambo,2022,0,27,0.311,0.912,-6.316,0.103,0.0647,0.0426,0.851,0.713,154.192,4.87555
Around And Around - Live At The El Mocambo 1977,Live At The El Mocambo,2022,3,27,0.429,0.869,-7.467,0.042,0.0645,0.00543,0.848,0.79,97.223,3.8866666666666667
Tumbling Dice - Live At The El Mocambo 1977,Live At The El Mocambo,2022,3,32,0.45,0.842,-7.254,0.0343,0.133,0.0358,0.758,0.768,107.825,4.9371
Hot Stuff - Live At The El Mocambo 1977,Live At The El Mocambo,2022,3,27,0.497,0.914,-6.82,0.0487,0.0372,0.181,0.753,0.791,110.005,5.476883333333333
Star Star - Live At The El Mocambo 1977,Live At The El Mocambo,2022,0,26,0.251,0.926,-6.013,0.0997,0.0252,0.0661,0.901,0.767,155.776,4.408216666666666
